Protocol Path,Packets,Bytes,% Packets,Mbit/s,End Packets,End Bytes,End Bits/s
Ether,238920,273055282,100.0,0.009142986171103299,238920,273055282,0.009142986171103299
Ether > IP,238826,273048777,99.96065628662313,0.009142768357609242,238826,273048777,0.009142768357609242
Ether > IP > TCP,144707,172518737,60.56713544282605,0.00577661935375858,144707,172518737,0.00577661935375858
Ether > IP > TCP > Raw,118490,171071447,49.59400636196216,0.005728158278921815,118490,171071447,0.005728158278921815
Ether > IP > TCP > Padding,4790,287400,2.0048551816507616,9.623304871923657e-06,4790,287400,9.623304871923657e-06
Ether > IP > UDP,94114,100529740,39.39142809308555,0.003366138958647246,94114,100529740,0.003366138958647246
Ether > IP > UDP > DNS,1638,238905,0.6855851330989452,7.999497739829232e-06,1638,238905,7.999497739829232e-06
Ether > IP > UDP > NBTDatagram,2,486,0.0008371002846140967,1.627322953289804e-08,2,486,1.627322953289804e-08
Ether > IP > UDP > NBTDatagram > Raw,2,486,0.0008371002846140967,1.627322953289804e-08,2,486,1.627322953289804e-08
Ether > IP > UDP > Raw,92458,100288425,38.69830905742508,0.0033580587644399798,92458,100288425,0.0033580587644399798
Ether > IP > TCP > Raw > Padding,202,12120,0.08454712874602378,4.058262179809141e-07,202,12120,4.058262179809141e-07
Ether > IPv6,28,2671,0.011719403984597355,8.94357944081701e-08,28,2671,8.94357944081701e-08
Ether > IPv6 > UDP,23,2221,0.009626653273062113,7.436798928511635e-08,23,2221,7.436798928511635e-08
Ether > IPv6 > UDP > DHCP6_Solicit,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DHCP6_Solicit > DHCP6OptElapsedTime,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DHCP6_Solicit > DHCP6OptElapsedTime > DHCP6OptClientId,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DHCP6_Solicit > DHCP6OptElapsedTime > DHCP6OptClientId > DHCP6OptIA_NA,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DHCP6_Solicit > DHCP6OptElapsedTime > DHCP6OptClientId > DHCP6OptIA_NA > DHCP6OptClientFQDN,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DHCP6_Solicit > DHCP6OptElapsedTime > DHCP6OptClientId > DHCP6OptIA_NA > DHCP6OptClientFQDN > DHCP6OptVendorClass,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DHCP6_Solicit > DHCP6OptElapsedTime > DHCP6OptClientId > DHCP6OptIA_NA > DHCP6OptClientFQDN > DHCP6OptVendorClass > DHCP6OptOptReq,1,157,0.00041855014230704837,5.256989787376528e-09,1,157,5.256989787376528e-09
Ether > IPv6 > UDP > DNS,16,1560,0.006696802276912774,5.223505775991964e-08,16,1560,5.223505775991964e-08
Ether > IPv6 > UDP > LLMNRQuery,6,504,0.0025113008538422904,1.687594173782019e-08,6,504,1.687594173782019e-08
Ether > IP > UDP > LLMNRQuery,6,384,0.0025113008538422904,1.2857860371672527e-08,6,384,1.2857860371672527e-08
Ether > ARP,66,3834,0.027624309392265196,1.283776996484179e-07,66,3834,1.283776996484179e-07
Ether > ARP > Padding,59,3540,0.024694458396115854,1.185334003013561e-07,59,3540,1.185334003013561e-07
Ether > IP > UDP > NBNSHeader,6,660,0.0025113008538422904,2.2099447513812156e-08,6,660,2.2099447513812156e-08
Ether > IP > UDP > NBNSHeader > Raw,6,660,0.0025113008538422904,2.2099447513812156e-08,6,660,2.2099447513812156e-08
Ether > IP > UDP > NTPHeader,2,180,0.0008371002846140967,6.0271220492214965e-09,2,180,6.0271220492214965e-09
Ether > IP > UDP > BOOTP,2,700,0.0008371002846140967,2.343880796919471e-08,2,700,2.343880796919471e-08
Ether > IP > UDP > BOOTP > DHCP,2,700,0.0008371002846140967,2.343880796919471e-08,2,700,2.343880796919471e-08
Ether > IP > Raw,5,300,0.0020927507115352417,1.0045203415369162e-08,5,300,1.0045203415369162e-08
Ether > IP > Raw > Padding,5,300,0.0020927507115352417,1.0045203415369162e-08,5,300,1.0045203415369162e-08
Ether > IPv6 > IPv6ExtHdrHopByHop,5,450,0.0020927507115352417,1.506780512305374e-08,5,450,1.506780512305374e-08
Ether > IPv6 > IPv6ExtHdrHopByHop > ICMPv6MLReport2,5,450,0.0020927507115352417,1.506780512305374e-08,5,450,1.506780512305374e-08
